# RBM history | dtype=REAL | L=6 (N_sites=36) | J1=1.0 | J2=1.0
# Optimizer=Adam | lr=0.001 | alpha=4 | SR diag_shift=0.01
# Sampler=MetropolisExchange(d_max=2) | n_samples=10000 | discard=50 | seed=1234
# Paper reference E/site = -0.71436
iter,energy_mean,energy_sigma,energy_per_site_mean,energy_per_site_sigma
0,143.908627030433,0.015163917951,3.997461861956,0.000421219943
1,143.850169220112,0.018006462844,3.995838033892,0.000500179523
2,143.805175194138,0.021015743562,3.994588199837,0.000583770655
3,143.738564260306,0.028110947936,3.992737896120,0.000780859665
4,143.650465265929,0.029028802571,3.990290701831,0.000806355627
5,143.582878249842,0.036273340514,3.988413284718,0.001007592792
6,143.358784945976,0.044707866869,3.982188470722,0.001241885191
7,143.290747566621,0.052965537848,3.980298543517,0.001471264940
8,143.133129197588,0.057207909540,3.975920255489,0.001589108598
9,142.682187053185,0.067122977685,3.963394084811,0.001864527158
10,142.318943683206,0.069818357914,3.953303991200,0.001939398831
11,142.013799833969,0.081259593686,3.944827773166,0.002257210936
12,141.322369552435,0.092417457008,3.925621376457,0.002567151584
13,140.812849128292,0.101745084869,3.911468031341,0.002826252357
14,140.323526678194,0.112429207651,3.897875741061,0.003123033546
15,139.518344580533,0.125918631080,3.875509571681,0.003497739752
16,138.415809057222,0.157414967647,3.844883584923,0.004372637990
17,136.898376523053,0.161314480746,3.802732681196,0.004480957798
18,135.692748911082,0.174403231139,3.769243025308,0.004844534198
19,134.546840147226,0.189958750336,3.737412226312,0.005276631954
20,132.214884944171,0.212112382110,3.672635692894,0.005892010614
21,130.063149157338,0.238087625581,3.612865254371,0.006613545155
22,127.970586845596,0.246727472528,3.554738523489,0.006853540904
23,125.067030552435,0.266997006142,3.474084182012,0.007416583504
24,122.389493567440,0.331701412484,3.399708154651,0.009213928125
25,118.142292436936,0.329426000107,3.281730345470,0.009150722225
26,115.265386231928,0.381254526128,3.201816284220,0.010590403504
27,110.203882171664,0.417798831765,3.061218949213,0.011605523105
28,106.251074495191,0.452628737125,2.951418735978,0.012573020476
29,101.033410928764,0.483269474391,2.806483636910,0.013424152066
30,96.685615525259,0.513349309701,2.685711542368,0.014259703047
31,90.000995523718,0.555978541229,2.500027653437,0.015443848367
32,85.738036622254,0.605344638221,2.381612128396,0.016815128839
33,79.970257737212,0.637050599551,2.221396048256,0.017695849988
34,73.546137171081,0.663215044643,2.042948254752,0.018422640129
35,67.780873317053,0.683265936191,1.882802036585,0.018979609339
36,61.795425675091,0.733551254572,1.716539602086,0.020376423738
37,56.734336114923,0.747241192756,1.575953780970,0.020756699799
38,51.658632376744,0.682263656933,1.434962010465,0.018951768248
39,45.891728136128,0.735032062885,1.274770226004,0.020417557302
40,41.419422921707,0.716239404908,1.150539525603,0.019895539025
41,35.472081891694,0.694503658886,0.985335608103,0.019291768302
42,32.209406047874,0.642169471348,0.894705723552,0.017838040871
43,29.885420001770,0.684763316648,0.830150555605,0.019021203240
44,24.628175124487,0.637477878622,0.684115975680,0.017707718851
45,21.750944775791,0.647579352433,0.604192910439,0.017988315345
46,18.785759691847,0.596939596995,0.521826658107,0.016581655472
47,16.103572802896,0.636200954100,0.447321466747,0.017672248725
48,12.595794620603,0.564213321389,0.349883183906,0.015672592261
49,9.825087468338,0.528938707907,0.272919096343,0.014692741886
50,7.363814423321,0.516225833036,0.204550400648,0.014339606473
51,5.316418977281,0.526060706618,0.147678304924,0.014612797406
52,2.890625564840,0.505018171333,0.080295154579,0.014028282537
53,1.817935817732,0.511192702638,0.050498217159,0.014199797296
54,0.604641245023,0.473421467983,0.016795590140,0.013150596333
55,-2.265012037055,0.408624459208,-0.062917001029,0.011350679422
56,-2.713313809038,0.471164152509,-0.075369828029,0.013087893125
57,-4.633589536245,0.445107685507,-0.128710820451,0.012364102375
58,-6.337161227038,0.416662608608,-0.176032256307,0.011573961350
59,-7.406931156207,0.405429292735,-0.205748087672,0.011261924798
60,-8.042179533067,0.392265167426,-0.223393875919,0.010896254651
61,-9.545771229906,0.407856405489,-0.265160311942,0.011329344597
62,-11.044213933517,0.365691740787,-0.306783720375,0.010158103911
63,-11.857362089194,0.345803706278,-0.329371169144,0.009605658508
64,-12.601387566231,0.343696947284,-0.350038543506,0.009547137425
65,-12.808738136719,0.347975325426,-0.355798281576,0.009665981262
66,-13.749617012770,0.376309168560,-0.381933805910,0.010453032460
67,-14.919698825458,0.350047833557,-0.414436078485,0.009723550932
68,-15.866881898758,0.334758679497,-0.440746719410,0.009298852208
69,-16.142030666283,0.331887701979,-0.448389740730,0.009219102833
70,-17.277254825033,0.279310688011,-0.479923745140,0.007758630223
71,-17.295944919676,0.336453404657,-0.480442914435,0.009345927907
72,-18.215892076981,0.322097607297,-0.505997002138,0.008947155758
73,-18.508324996188,0.295561664062,-0.514120138783,0.008210046224
74,-18.812610297960,0.315926496772,-0.522572508277,0.008775736021
75,-19.527691131632,0.357469769140,-0.542435864768,0.009929715809
76,-19.664739475131,0.290720012592,-0.546242763198,0.008075555905
77,-20.326534043571,0.258053383925,-0.564625945655,0.007168149553
78,-20.406544602670,0.390240136300,-0.566848461185,0.010840003786
79,-21.428846329030,0.226942954151,-0.595245731362,0.006303970949
80,-21.619030316526,0.252494481437,-0.600528619904,0.007013735595
81,-21.569753642833,0.251115470269,-0.599159823412,0.006975429730
82,-22.467185725146,0.223022019837,-0.624088492365,0.006195056107
83,-22.921716333053,0.244378180764,-0.636714342585,0.006788282799
84,-23.036319529958,0.254479946935,-0.639897764721,0.007068887415
85,-23.163299404873,0.256135805471,-0.643424983469,0.007114883485
86,-24.002846251683,0.233535381324,-0.666745729213,0.006487093926
87,-23.878058473019,0.253989482404,-0.663279402028,0.007055263400
88,-24.645730932740,0.206568239820,-0.684603637021,0.005738006662
89,-24.282864287911,0.221975419257,-0.674524007998,0.006165983868
90,-24.814221559852,0.228864317168,-0.689283932218,0.006357342144
91,-25.106889717928,0.272876400499,-0.697413603276,0.007579900014
92,-25.475697586908,0.231072931522,-0.707658266303,0.006418692542
93,-25.957648162291,0.216626931169,-0.721045782286,0.006017414755
94,-25.999625016440,0.205566171867,-0.722211806012,0.005710171441
95,-25.820509413509,0.344443984809,-0.717236372597,0.009567888467
96,-26.242514255960,0.227323049954,-0.728958729332,0.006314529165
97,-26.659330204541,0.234335100283,-0.740536950126,0.006509308341
98,-27.191978872514,0.190386279176,-0.755332746459,0.005288507755
99,-26.931814617397,0.426881191253,-0.748105961594,0.011857810868
100,-27.516321157093,0.232508415552,-0.764342254364,0.006458567099
101,-27.460899313958,0.227392839810,-0.762802758721,0.006316467773
102,-27.750753109341,0.197757828990,-0.770854253037,0.005493273028
103,-28.485931621352,0.196879585040,-0.791275878371,0.005468877362
104,-28.141095051337,0.221893573216,-0.781697084759,0.006163710367
105,-28.324063741484,0.201771923192,-0.786779548375,0.005604775644
106,-28.774347892769,0.198490802033,-0.799287441466,0.005513633390
107,-28.509699381393,0.216229702572,-0.791936093928,0.006006380627
108,-28.947848824713,0.252747412896,-0.804106911798,0.007020761469
109,-29.531820790797,0.175164562558,-0.820328355300,0.004865682293
110,-28.830021450458,0.460795511049,-0.800833929179,0.012799875307
111,-29.566305913094,0.199192319059,-0.821286275364,0.005533119974
112,-29.778867663600,0.214715130280,-0.827190768433,0.005964309174
