# RBM history | dtype=COMPLEX | L=6 (N_sites=36) | J1=1.0 | J2=0.5
# Optimizer=Adam | lr=0.001 | alpha=4 | SR diag_shift=0.01
# Sampler=MetropolisExchange(d_max=2) | n_samples=10000 | discard=50 | seed=1234
# Paper reference E/site = -0.50381
iter,energy_mean,energy_sigma,energy_per_site_mean,energy_per_site_sigma
0,107.925027100002,0.010743629332,2.997917419445,0.000298434148
1,107.911641137546,0.014315077025,2.997545587154,0.000397641028
2,107.841489994730,0.017457875274,2.995596944298,0.000484940980
3,107.786470105254,0.021715124778,2.994068614035,0.000603197911
4,107.655486397131,0.026604387096,2.990430177698,0.000739010753
5,107.602608520368,0.031719422094,2.988961347788,0.000881095058
6,107.477645776388,0.035001730895,2.985490160455,0.000972270303
7,107.280596803929,0.042147327970,2.980016577887,0.001170759110
8,107.052105640865,0.048057578790,2.973669601135,0.001334932744
9,106.829379826985,0.056578885125,2.967482772972,0.001571635698
10,106.501659249154,0.062440369339,2.958379423588,0.001734454704
11,106.043414332651,0.071634509128,2.945650398129,0.001989847476
12,105.571999956569,0.082301734701,2.932555554349,0.002286159297
13,105.048089225762,0.090069447689,2.918002478493,0.002501929102
14,104.363183235366,0.099766165597,2.898977312093,0.002771282378
15,103.590613502650,0.112443147542,2.877517041740,0.003123420765
16,102.681166563801,0.120230907292,2.852254626772,0.003339747425
17,101.725975954726,0.127030373356,2.825721554298,0.003528621482
18,100.201205916531,0.142040102390,2.783366831015,0.003945558400
19,98.693858613657,0.159323953306,2.741496072602,0.004425665370
20,97.188292178297,0.165142689590,2.699674782730,0.004587296933
21,95.210723725548,0.178307475065,2.644742325710,0.004952985418
22,93.315550375431,0.190459481658,2.592098621540,0.005290541157
23,90.970846245107,0.206094944371,2.526967951253,0.005724859566
24,88.467849507664,0.233858278975,2.457440264102,0.006496063305
25,85.313361354396,0.240775863197,2.369815593178,0.006688218422
26,82.173680071835,0.259950289715,2.282602224218,0.007220841381
27,78.920643977297,0.264488015480,2.192240110480,0.007346889319
28,75.556411170875,0.285748103399,2.098789199191,0.007937447317
29,71.748589470969,0.307533552259,1.993016374194,0.008542598674
30,67.498277293987,0.305059499394,1.874952147055,0.008473874983
31,62.643650187920,0.316079850856,1.740101394109,0.008779995857
32,57.731500826184,0.333090550282,1.603652800727,0.009252515286
33,53.304996788543,0.330090490094,1.480694355237,0.009169180280
34,48.048214641409,0.348751071180,1.334672628928,0.009687529755
35,43.401064030167,0.361197527468,1.205585111949,0.010033264652
36,38.933338850776,0.376383123994,1.081481634744,0.010455086778
37,34.605022114937,0.369380831328,0.961250614304,0.010260578648
38,30.528442048426,0.345404663140,0.848012279123,0.009594573976
39,25.969588795081,0.358054444218,0.721377466530,0.009945956784
40,21.976147453130,0.358352000332,0.610448540365,0.009954222231
