iter,energy_mean,energy_sigma,energy_per_site_mean,energy_per_site_sigma
0,79.142191003110,0.012030312173,2.198394194531,0.000334175338
1,78.439825864982,0.055062338765,2.178884051805,0.001529509410
2,74.641756739910,0.130832954869,2.073382131664,0.003634248746
3,62.342233614715,0.287890897170,1.731728711520,0.007996969366
4,39.923896519256,0.466702680328,1.108997125535,0.012963963342
5,17.843839865041,0.443778674045,0.495662218473,0.012327185390
6,4.949764043700,0.391672550766,0.137493445658,0.010879793077
7,-3.043965845407,0.422998359850,-0.084554606817,0.011749954440
8,-8.871778689214,0.299259813573,-0.246438296923,0.008312772599
9,-11.611402495282,0.333552911290,-0.322538958202,0.009265358647
10,-14.770555520448,0.293028219655,-0.410293208901,0.008139672768
11,-16.203202056969,0.259603510551,-0.450088946027,0.007211208626
12,-18.589934469271,0.242702534557,-0.516387068591,0.006741737071
13,-19.092146868082,0.233031270743,-0.530337413002,0.006473090854
14,-20.881749129196,0.214860759785,-0.580048586922,0.005968354438
15,-21.306154418066,0.355985379263,-0.591837622724,0.009888482757
16,-23.801312398389,0.187474334928,-0.661147566622,0.005207620415
17,-24.769042342969,0.189639002556,-0.688028953971,0.005267750071
18,-24.988602782072,0.202019377814,-0.694127855058,0.005611649384
19,-26.050769976349,0.187477590781,-0.723632499343,0.005207710855
20,-26.821467270942,0.158572470065,-0.745040757526,0.004404790835
21,-27.243889898739,0.157395197701,-0.756774719409,0.004372088825
22,-28.148349445546,0.129103019125,-0.781898595710,0.003586194976
23,-28.193604489752,0.123017105961,-0.783155680271,0.003417141832
24,-28.792171495364,0.114672966035,-0.799782541538,0.003185360168
25,-29.393290312013,0.077093047876,-0.816480286445,0.002141473552
26,-29.666584697682,0.071400532931,-0.824071797158,0.001983348137
27,-29.767706192357,0.077385892123,-0.826880727565,0.002149608115
28,-29.725790964592,0.085233574135,-0.825716415683,0.002367599282
29,-30.085955065365,0.044590634936,-0.835720974038,0.001238628748
30,-30.343962741400,0.016030687856,-0.842887853928,0.000445296885
31,-30.020000353251,0.068066391527,-0.833888898701,0.001890733098
32,-30.155416185855,0.052623460749,-0.837650449607,0.001461762799
33,-30.372280066570,0.010713144815,-0.843674446294,0.000297587356
34,-30.346341787321,0.018140196744,-0.842953938537,0.000503894354
35,-30.357726139395,0.013477002745,-0.843270170539,0.000374361187
36,-30.382604203924,0.008369700925,-0.843961227887,0.000232491692
37,-30.357909497563,0.014776819580,-0.843275263821,0.000410467211
38,-30.294795848364,0.031928888418,-0.841522106899,0.000886913567
39,-30.404877774075,0.001855034219,-0.844579938169,0.000051528728
40,-30.399484024715,0.001198320679,-0.844430111798,0.000033286686
41,-30.397238284176,0.004026828611,-0.844367730116,0.000111856350
42,-30.397745440407,0.003150755979,-0.844381817789,0.000087520999
43,-30.400145718829,0.000353238997,-0.844448492190,0.000009812194
44,-30.405191092937,0.001725951962,-0.844588641470,0.000047943110
45,-30.407870939207,0.002397234681,-0.844663081645,0.000066589852
46,-30.401532637704,0.002655785638,-0.844487017714,0.000073771823
47,-30.394151035907,0.007624755901,-0.844281973220,0.000211798775
48,-30.404376206746,0.002116816819,-0.844566005743,0.000058800467
49,-30.403545388064,0.001942928644,-0.844542927446,0.000053970240
50,-30.405137834423,0.001853243673,-0.844587162067,0.000051478991
51,-30.406272745202,0.002630535246,-0.844618687367,0.000073070423
52,-30.405518987414,0.002006635687,-0.844597749650,0.000055739880
53,-30.404684728727,0.001439698545,-0.844574575798,0.000039991626
54,-30.407499646281,0.002149704180,-0.844652767952,0.000059714005
55,-30.400641570341,0.005557284990,-0.844462265843,0.000154369028
56,-30.408641092680,0.002730113634,-0.844684474797,0.000075836490
57,-30.410466695974,0.002863280589,-0.844735185999,0.000079535572
58,-30.411993019353,0.003621733091,-0.844777583871,0.000100603697
59,-30.410832726410,0.002622681102,-0.844745353511,0.000072852253
60,-30.411053390544,0.002988045509,-0.844751483071,0.000083001264
61,-30.408181625161,0.002132320234,-0.844671711810,0.000059231118
62,-30.408692345345,0.002008611714,-0.844685898482,0.000055794770
