iter,energy_mean,energy_sigma,energy_per_site_mean,energy_per_site_sigma
0,93.531036418033,0.014138448093,2.598084344945,0.000392734669
1,92.699379275047,0.063775379371,2.574982757640,0.001771538316
2,88.257158579821,0.155002460647,2.451587738328,0.004305623907
3,75.047287563468,0.313831708792,2.084646876763,0.008717547466
4,50.748025259730,0.473879177438,1.409667368326,0.013163310484
5,27.447927534982,0.491145953308,0.762442431527,0.013642943147
6,11.557804626513,0.453560548688,0.321050128514,0.012598904130
7,2.059550902806,0.376917367831,0.057209747300,0.010469926884
8,-4.436998408270,0.371676225458,-0.123249955785,0.010324339596
9,-9.252318683856,0.302326244473,-0.257008852329,0.008397951235
10,-13.603757203484,0.268526734550,-0.377882144541,0.007459075960
11,-15.676523378674,0.268503112480,-0.435458982741,0.007458419791
12,-17.692356034311,0.291580999448,-0.491454334286,0.008099472207
13,-19.215983590021,0.188370507603,-0.533777321945,0.005232514100
14,-20.914977046404,0.139525411575,-0.580971584622,0.003875705877
15,-20.958942050141,0.157408811040,-0.582192834726,0.004372466973
16,-21.962549628109,0.170364160869,-0.610070823003,0.004732337802
17,-22.385206266144,0.145674039380,-0.621811285171,0.004046501094
18,-23.005678490827,0.106710505448,-0.639046624745,0.002964180707
19,-23.302765484541,0.109068171895,-0.647299041237,0.003029671442
20,-23.509276175817,0.110827941914,-0.653035449328,0.003078553942
21,-23.589321981715,0.094703652435,-0.655258943937,0.002630657012
22,-23.769858587136,0.097183284295,-0.660273849643,0.002699535675
23,-20.488996019682,3.122295783979,-0.569138778324,0.086730438444
24,-23.952647562641,0.053657546017,-0.665351321184,0.001490487389
25,-24.155365576193,0.045709198964,-0.670982377116,0.001269699971
26,-24.170966204390,0.053952204442,-0.671415727900,0.001498672346
27,-24.336206224865,0.056695224900,-0.676005728468,0.001574867358
28,-24.574687094388,0.057796913152,-0.682630197066,0.001605469810
29,-24.514915989601,0.140908591815,-0.680969888600,0.003914127550
30,-24.801492101309,0.061389299228,-0.688930336147,0.001705258312
31,-24.948628091676,0.033994253152,-0.693017446991,0.000944284810
32,-25.064764638089,0.010949245396,-0.696243462169,0.000304145705
33,-25.039785251441,0.030607134156,-0.695549590318,0.000850198171
34,-25.061254791085,0.033444276627,-0.696145966419,0.000929007684
35,-25.020057792534,0.065878705652,-0.695001605348,0.001829964046
36,-24.995807884246,0.065757568099,-0.694327996785,0.001826599114
37,-25.026477261676,0.076896205865,-0.695179923935,0.002136005718
38,-25.085189014430,0.067878163100,-0.696810805956,0.001885504531
39,-25.172367294535,0.002514156329,-0.699232424848,0.000069837676
40,-25.180952220491,0.001488693793,-0.699470895014,0.000041352605
41,-25.185670613619,0.001031279045,-0.699601961489,0.000028646640
42,-25.188391684761,0.000839905446,-0.699677546799,0.000023330707
43,-25.188246862396,0.001764337395,-0.699673523955,0.000049009372
44,-25.191923610064,0.000588307958,-0.699775655835,0.000016341888
45,-25.189261773728,0.002536959603,-0.699701715937,0.000070471100
46,-25.193996824506,0.000438620150,-0.699833245125,0.000012183893
47,-25.190183593312,0.002379699532,-0.699727322036,0.000066102765
48,-25.194333438761,0.001031266863,-0.699842595521,0.000028646302
